datetime,temperature,humidity,wind_speed,ca_tot
2024-06-05 22:00:00,18.7,72.0,2.0,8
2024-06-05 23:00:00,18.4,72.0,1.5,6
2024-06-06 00:00:00,18.2,71.0,0.8,8
2024-06-06 01:00:00,17.7,73.0,1.1,8
2024-06-06 02:00:00,17.1,76.0,0.3,8
2024-06-06 03:00:00,16.9,77.0,0.2,9
2024-06-06 04:00:00,17.2,80.0,0.7,9
2024-06-06 05:00:00,16.7,84.0,0.5,9
2024-06-06 06:00:00,16.8,84.0,0.2,9
2024-06-06 07:00:00,17.6,79.0,0.1,7
2024-06-06 08:00:00,20.1,58.0,1.5,8
2024-06-06 09:00:00,21.1,60.0,1.7,6
2024-06-06 10:00:00,23.5,53.0,2.4,4
2024-06-06 11:00:00,24.8,45.0,2.0,3
2024-06-06 12:00:00,26.5,44.0,1.5,3
2024-06-06 13:00:00,27.5,40.0,2.0,3
2024-06-06 14:00:00,28.5,39.0,3.0,5
2024-06-06 15:00:00,28.7,37.0,2.7,2
2024-06-06 16:00:00,29.2,35.0,2.6,4
2024-06-06 17:00:00,27.6,47.0,3.8,4
2024-06-06 18:00:00,25.9,51.0,2.9,3
2024-06-06 19:00:00,22.6,58.0,2.9,0
2024-06-06 20:00:00,20.8,63.0,2.1,0
2024-06-06 21:00:00,19.5,73.0,0.8,0
2024-06-06 22:00:00,18.8,75.0,0.6,6
2024-06-06 23:00:00,18.3,77.0,1.1,3
2024-06-07 00:00:00,17.8,79.0,1.4,0
2024-06-07 01:00:00,16.9,79.0,0.6,3
2024-06-07 02:00:00,16.2,82.0,0.7,6
2024-06-07 03:00:00,16.1,81.0,1.1,8
2024-06-07 04:00:00,16.2,82.0,0.3,6
2024-06-07 05:00:00,15.3,87.0,0.5,6
2024-06-07 06:00:00,16.2,86.0,0.5,8
2024-06-07 07:00:00,18.2,80.0,0.4,8
2024-06-07 08:00:00,19.9,66.0,1.3,8
2024-06-07 09:00:00,21.6,49.0,1.7,7
2024-06-07 10:00:00,23.5,40.0,1.3,8
2024-06-07 11:00:00,24.0,43.0,1.9,8
2024-06-07 12:00:00,25.4,40.0,2.1,8
2024-06-07 13:00:00,25.3,42.0,2.0,9
2024-06-07 14:00:00,26.2,42.0,3.0,9
2024-06-07 15:00:00,26.9,42.0,1.2,8
2024-06-07 16:00:00,27.0,41.0,1.8,9
2024-06-07 17:00:00,26.4,44.0,2.5,7
2024-06-07 18:00:00,25.6,48.0,2.7,9
2024-06-07 19:00:00,23.8,49.0,2.4,10
2024-06-07 20:00:00,22.5,50.0,1.8,10
2024-06-07 21:00:00,20.6,61.0,1.7,10
2024-06-07 22:00:00,20.0,68.0,1.0,10
2024-06-07 23:00:00,19.5,72.0,1.4,10
