datetime,temperature_pred,humidity_pred,wind_speed_pred,ca_tot_pred,temperature_actual,humidity_actual,wind_speed_actual,ca_tot_actual,temperature_accuracy,humidity_accuracy,wind_speed_accuracy,ca_tot_accuracy
2024-06-01 00:00:00,17.570619830445217,79.28496025672516,2.452685419232006,9.931982698873478,16.8,88.0,1.6,10,95.41297993009994,90.096546871671,46.7074943761598,99.31982766890711
2024-06-01 01:00:00,17.665909583107286,79.54530537653325,2.086312714495614,10.072395561978308,16.5,92.0,2.0,10,92.93388559699487,86.46228992424376,95.68438585329002,99.27604510417181
2024-06-01 02:00:00,17.665909583107286,81.58244446193329,2.192480946244958,10.05253484122567,16.8,91.0,2.2,10,94.84577935901653,89.65103900750483,99.65822638283271,99.4746521130912
2024-06-01 03:00:00,17.424464686640725,79.65354715931666,2.1480370953924024,9.910656491263316,16.5,90.0,1.5,10,94.39718711297311,88.50394256546934,56.79781498840659,99.10656580606735
2024-06-01 04:00:00,17.592001014135267,76.56368536497675,2.1434390277044035,10.033560375973344,16.4,90.0,1.9,10,92.73170556520839,85.07076317544492,87.18748702878388,99.66439657586999
2024-06-01 05:00:00,17.730881609538972,76.70039872845813,2.118634516557785,10.035681011227735,16.1,90.0,2.2,9,89.87030685360462,85.22266689576826,96.30158574541865,88.49244599475183
2024-06-01 06:00:00,17.730881609538972,78.37399829392648,2.177190388996506,10.007884998593742,16.2,91.0,1.8,10,90.55011935462403,86.12527437516377,79.04509480522297,99.9211500929125
2024-06-01 07:00:00,18.032775567897747,74.9946911943626,2.277559184204694,10.115146917957317,16.4,91.0,1.9,9,90.04405748595428,82.4117504980083,80.12856857570782,87.60949245659376
2024-06-01 08:00:00,18.229831930469658,78.30948221413632,2.256684380953597,9.920286658740384,17.9,83.0,1.6,9,98.15736454633456,94.34877443284202,58.95748270613328,89.77460404221347
2024-06-01 09:00:00,18.167701673609827,77.7607941148462,2.184402812312245,9.925309361573175,19.6,74.0,2.1,7,92.6923592059893,94.91784647752587,95.98083760019024,58.20992596334611
2024-06-01 10:00:00,18.27073589711865,77.99806132810545,2.153201335733599,9.925309361573175,20.1,67.0,3.2,4,90.8991880955216,83.58498554238209,67.28764396778757,-48.13236370842014
2024-06-01 11:00:00,18.27073589711865,80.93890240455231,2.1123897814028565,9.885955953193069,21.5,60.0,2.8,4,84.98017394930817,65.10183514210696,75.44257989803096,-47.148530958499336
2024-06-01 12:00:00,18.57948000627469,79.9670747652793,2.0991683899393463,9.95955783677774,21.8,56.0,3.5,2,85.2269792824622,57.201659847419116,59.97635406582684,-297.97590195937727yu
2024-06-01 13:00:00,18.747019821490092,79.9670747652793,2.1638154920065507,10.15529231527706,22.6,50.0,4.0,3,82.95142268295497,40.065862456268896,54.09550206140861,-138.5089488127393
2024-06-01 14:00:00,18.747019821490092,79.94282775364668,2.2237225840803223,10.052693108633967,22.7,46.0,4.9,1,82.58599807440655,26.21126005484199,45.38220501754735,-805.260258260814
2024-06-01 15:00:00,18.76130169198156,77.44792234824128,2.2208464304472746,10.052693108633967,23.8,44.0,4.4,1,78.82900760117984,23.98201193990348,50.47389506949471,-805.260258260814
2024-06-01 16:00:00,18.84486675848668,77.23845754890341,2.368552846745333,10.125953513923545,23.0,41.0,5.2,1,81.93421115245899,11.613539731079559,45.54919791972194,-812.5862255300991
2024-06-01 17:00:00,18.71390326033828,76.6900658237017,2.322055315739878,10.187230230000145,22.1,47.0,4.3,0,84.67830222854325,36.82966062411115,54.00139338605905,-101872202.30000144
2024-06-01 18:00:00,18.75259160932,75.29615178452998,2.364241120945998,10.147876821620036,21.6,49.0,3.4,0,86.81755984983339,46.3343950653684,69.53659315549065,-101478668.21620035
2024-06-01 19:00:00,18.639415492326773,78.76288482920839,2.3833786485674757,10.201132347032418,19.8,54.0,3.8,0,94.13846504282964,54.14281436390773,62.72058885548921,-102011223.47032417
2024-06-01 20:00:00,18.501211948229432,78.21419672991827,2.400043427697374,10.198022689747678,18.1,63.0,2.8,0,97.78336062670998,75.85048521433842,85.71588771816437,-101980126.89747676
2024-06-01 21:00:00,18.496723150665574,80.28345734886092,2.457923802853821,9.9650388249091,17.3,70.0,2.2,1,93.0825291391995,85.30934874314886,88.27624406917147,-796.4949175417346
2024-06-01 22:00:00,18.41659269820363,80.28345734886092,2.6262044970653946,9.9650388249091,16.7,75.0,1.2,0,89.72100796224895,92.95539114079996,-18.849384343913343,-99650288.249091
2024-06-01 23:00:00,18.44622356037073,76.81672430418251,2.6193540334084737,9.883869646404436,15.8,81.0,0.3,0,83.25176021805855,94.83546274152623,-673.0922413947782,-98838596.46404436
2024-06-02 00:00:00,18.540636500555355,79.26930240925878,2.5988418249163807,9.883869646404436,15.1,86.0,0.9,2,77.21434290073083,92.17360836267203,-88.75810545620391,-294.19151136266504
2024-06-02 01:00:00,18.532544648898536,76.75631159636286,2.6157411498974894,9.711697068627666,15.0,86.0,0.8,0,76.4497180408644,89.25152636187235,-126.9648066771027,-97116870.68627666
2024-06-02 02:00:00,18.63369363563077,76.75631159636286,2.594011582726176,9.835144020829446,14.5,88.0,1.4,0,71.49178769096869,87.22308281142566,14.714067561933419,-98351340.20829445
2024-06-02 03:00:00,18.63369363563077,80.64011182652146,2.600914596605465,9.835144020829446,14.9,84.0,1.5,0,74.94167026981344,96.00013360298584,26.606182851749992,-98351340.20829445
2024-06-02 04:00:00,18.532544648898536,77.17337878184306,2.600914596605465,9.835144020829446,14.0,85.0,0.6,0,67.62470420450745,90.7922114148493,-233.48020809744256,-98351340.20829445
2024-06-02 05:00:00,18.63369363563077,82.00341235688038,2.614135988068975,9.883869646404436,12.9,89.0,0.8,0,55.552796969686305,92.13866645282441,-126.76416395657242,-98838596.46404436
2024-06-02 06:00:00,18.532544648898536,82.00965185540663,2.600914596605465,9.859376521054356,13.8,90.0,0.7,0,65.70622304695044,91.12183638135888,-171.5553487243704,-98593665.21054354
2024-06-02 07:00:00,18.628485775390683,78.54291881072822,2.600914596605465,10.004841903081084,16.4,80.0,0.5,0,86.41168038683705,98.17864874107919,-320.1745158307764,-100048319.03081083
2024-06-02 08:00:00,18.700125272445963,82.00341235688038,2.600914596605465,9.883869646404436,18.2,72.0,0.8,0,97.25206045246149,86.10637365622536,-125.11151068179957,-98838596.46404436
2024-06-02 09:00:00,18.67711928629914,78.54291881072822,2.5728700720848487,9.859376521054356,20.0,56.0,1.4,0,93.38559973869582,59.74479502641478,16.224164678477383,-98593665.21054354
2024-06-02 10:00:00,18.68880339597962,79.1970860654441,2.610926538999717,9.883869646404436,21.3,48.0,2.5,0,87.74086676945043,35.00608423739059,95.56295618818656,-98838596.46404436
2024-06-02 11:00:00,18.68880339597962,79.3304818679501,2.610926538999717,9.859376521054356,22.7,46.0,1.8,0,82.32953816310926,27.54244647348969,54.9487758957052,-98593665.21054354
2024-06-02 12:00:00,18.68880339597962,79.3304818679501,2.624147930463227,9.859376521054356,24.1,36.0,3.6,2,77.546911374641,-20.362416199190214,72.8930733654414,-292.96686121841174
2024-06-02 13:00:00,18.68880339597962,79.3304818679501,2.624147930463227,9.859376521054356,24.5,42.0,3.7,3,76.28083986896176,11.117921476804183,70.92299562604498,-128.6451218847389
2024-06-02 14:00:00,18.68880339597962,79.3304818679501,2.6610998936036205,9.859376521054356,24.7,39.0,3.9,2,75.66318149660513,-3.4114654533424327,68.23341205801063,-292.96686121841174
2024-06-02 15:00:00,18.68880339597962,79.3304818679501,2.6610998936036205,9.859376521054356,24.3,40.0,4.6,3,76.90866545314022,1.6738199116697827,57.850089317275845,-128.6451218847389
2024-06-02 16:00:00,18.68880339597962,79.20332556397035,2.664772239691981,9.859376521054356,24.3,38.0,4.0,2,76.90866545314022,-8.429775581559973,66.61938944382591,-292.96686121841174
2024-06-02 17:00:00,18.600043605293248,78.54291881072822,2.664772239691981,9.859376521054356,24.1,41.0,3.6,6,77.17861364079619,8.431927673363438,74.0215232649904,35.677165187152085
2024-06-02 18:00:00,18.61434304583448,78.54291881072822,2.654760297297729,9.859376521054356,22.9,44.0,3.1,3,81.28534898384098,21.49338418166673,85.63747527581295,-128.6451218847389
2024-06-02 19:00:00,18.568073996463827,78.54291881072822,2.654760297297729,9.862486178339095,22.0,46.0,3.2,0,84.40034343831584,29.254539703951753,82.96131253645235,-98624761.78339094
2024-06-02 20:00:00,18.4580842987534,78.54291881072822,2.654760297297729,9.859376521054356,19.5,56.0,2.4,0,94.65684529778908,59.74479502641478,89.3850318416286,-98593665.21054354
2024-06-02 21:00:00,18.4580842987534,78.54291881072822,2.668901577983233,9.859376521054356,18.2,58.0,0.7,0,98.58195518159935,64.58118057095469,-181.26763588852063,-98593665.21054354
2024-06-02 22:00:00,18.4580842987534,78.54291881072822,2.654760297297729,9.859376521054356,17.5,60.0,1.4,0,94.52523570698875,69.09514046626288,10.374904657986072,-98593665.21054354
2024-06-02 23:00:00,18.4580842987534,78.54291881072822,2.654760297297729,9.859376521054356,16.5,65.0,0.9,0,88.13282962402205,79.16474349661142,-94.97120001974749,-98593665.21054354
2024-06-03 00:00:00,18.4580842987534,78.50059151039909,2.654760297297729,9.859376521054356,15.3,68.0,1.1,0,79.35893964282769,84.55795593206665,-41.34056029469995,-98593665.21054354
2024-06-03 01:00:00,18.405463387100845,77.75671815053498,2.644538357794,9.711697068627666,14.9,67.0,0.0,0,76.47341587622529,83.94519918648523,-26445283.577939995,-97116870.68627666
2024-06-03 02:00:00,18.405463387100845,77.75671815053498,2.644538357794,9.835144020829446,14.4,74.0,0.9,0,72.1843013504793,94.92335453666158,-93.83544158331576,-98351340.20829445
2024-06-03 03:00:00,18.405463387100845,78.17378533601517,2.6609904170484384,9.835144020829446,13.7,82.0,1.1,0,65.65357698935368,95.33388512515447,-41.9069296686792,-98351340.20829445
2024-06-03 04:00:00,18.405463387100845,78.17378533601517,2.6609904170484384,9.835144020829446,13.4,84.0,0.2,0,62.645823494901535,93.06403098763342,-1130.433686839877,-98351340.20829445
2024-06-03 05:00:00,18.405463387100845,80.66869074142058,2.664662763136799,9.859376521054356,13.1,86.0,0.4,0,59.500310403573394,93.8008039085351,-466.15153699577485,-98593665.21054354
2024-06-03 06:00:00,18.405463387100845,80.66869074142058,2.664662763136799,9.859376521054356,13.7,83.0,0.8,0,65.65357698935368,97.19119400277249,-133.0799318929512,-98593665.21054354
2024-06-03 07:00:00,18.48710507305176,80.66869074142058,2.664662763136799,10.004841903081084,18.0,68.0,2.4,0,97.29386220867788,81.36957517885574,88.97243081750497,-100048319.03081083
2024-06-03 08:00:00,18.57304401064827,80.66869074142058,2.664662763136799,9.883869646404436,19.7,62.0,2.6,0,94.27941412541553,69.88921333815821,97.51298021404537,-98838596.46404436
2024-06-03 09:00:00,18.55874457010704,78.17378533601517,2.651401303009177,9.883869646404436,21.1,57.0,2.3,0,87.95614111134088,62.853014699444486,84.72174890504053,-98838596.46404436
2024-06-03 11:00:00,18.55874457010704,78.96134839323705,2.637260022323673,9.859376521054356,23.5,43.0,3.0,2,78.97339009688524,16.36897667410533,87.90870771509672,-292.96686121841174
2024-06-03 12:00:00,18.55874457010704,78.9675878917633,2.633587676235313,9.859376521054356,24.2,34.0,2.6,2,76.68903678183207,-32.2575725470766,98.70817126721386,-292.96686121841174
2024-06-03 13:00:00,18.55874457010704,81.4624932971687,2.633587676235313,9.859376521054356,25.4,34.0,2.5,3,73.06593410832139,-39.59552746357633,94.65651432453018,-128.6451218847389
2024-06-03 14:00:00,18.57304401064827,78.9675878917633,2.633587676235313,9.859376521054356,26.0,30.0,2.2,2,71.43479564295656,-63.225238564131494,80.29155884585467,-292.96686121841174
2024-06-03 15:00:00,18.57304401064827,78.9675878917633,2.633587676235313,9.883869646404436,26.7,29.0,3.4,3,69.56197398670739,-72.30196779850525,77.45852736419343,-129.46155667495898
2024-06-03 16:00:00,18.55874457010704,78.84043158778356,2.633587676235313,9.859376521054356,26.9,29.0,2.3,4,68.99162702953285,-71.86349793597849,85.49625104954703,-46.48404681624187
2024-06-03 17:00:00,18.469984779420667,78.18002483454143,2.633587676235313,9.859376521054356,26.5,30.0,2.9,4,69.69806720609036,-60.60002924846168,90.81339982397691,-46.48404681624187
2024-06-03 18:00:00,18.469984779420667,78.18002483454143,2.6609904170484384,9.859376521054356,26.4,30.0,2.1,2,69.96207493641353,-60.60002924846168,73.28629782484664,-292.96686121841174
2024-06-03 19:00:00,18.435399839730493,78.18002483454143,2.6609904170484384,9.862486178339095,24.1,46.0,2.3,0,76.49544477255607,30.043439480683976,84.3048327160126,-98624761.78339094
2024-06-03 20:00:00,18.30240415587324,78.18002483454143,2.664662763136799,9.859376521054356,22.0,53.0,1.5,4,83.19275380271755,52.49052814416182,22.35633341532397,-46.48404681624187
2024-06-03 21:00:00,18.30240415587324,80.66869074142058,2.678804043822302,9.859376521054356,20.5,57.0,1.2,1,89.28002550180824,58.475988440316804,-23.232643379830353,-785.9287928175074
2024-06-03 22:00:00,18.316703596414477,80.66869074142058,2.664662763136799,9.859376521054356,19.2,62.0,0.8,0,95.39950029408567,69.88921333815821,-133.0799318929512,-98593665.21054354
2024-06-03 23:00:00,18.237923571885435,80.66869074142058,2.664662763136799,9.883869646404436,20.8,34.0,2.8,0,87.68233078679017,-37.26081475099734,95.1665445172267,-98838596.46404436
2024-06-04 00:00:00,18.237923571885435,80.6326029396177,2.664662763136799,9.883869646404436,20.7,33.0,2.6,0,88.10591672122591,-44.34117728939384,97.51298021404537,-98838596.46404436
2024-06-04 01:00:00,18.237923571885435,78.01784798388577,2.6295984675843505,9.736190193977745,20.0,32.0,2.5,0,91.18962226461605,-43.80573001035239,94.81608203229786,-97361801.93977743
2024-06-04 02:00:00,18.237923571885435,78.01784798388577,2.6295984675843505,9.859637146179525,19.5,33.0,2.3,0,93.52781650822453,-36.41767982459936,85.66969414983627,-98596271.46179524
2024-06-04 03:00:00,18.237923571885435,78.17378533601517,2.6460505268387893,9.835144020829446,18.4,36.0,2.0,0,99.11915032592611,-17.149371169661244,67.69763516988469,-98351340.20829445
2024-06-04 04:00:00,18.237923571885435,78.17378533601517,2.6460505268387893,9.835144020829446,17.4,39.0,1.0,0,95.18435005562964,-0.4455776704035852,-64.60340664981241,-98351340.20829445
2024-06-04 05:00:00,18.237923571885435,80.66869074142058,2.6460505268387893,9.859376521054356,15.1,51.0,1.1,0,79.21906295502164,41.82610799209534,-40.54877017834284,-98593665.21054354
2024-06-04 06:00:00,18.237923571885435,80.66869074142058,2.6460505268387893,9.859376521054356,15.3,52.0,1.0,0,80.79789770146925,44.86791302266947,-64.60340664981241,-98593665.21054354
2024-06-04 07:00:00,18.33386469837758,80.66869074142058,2.6460505268387893,10.004841903081084,19.5,40.0,1.3,0,94.01982203279682,-1.6717014356260718,-3.541551744893434,-100048319.03081083
2024-06-04 08:00:00,18.40550419543286,80.66869074142058,2.6460505268387893,9.883869646404436,20.9,37.0,2.2,0,88.06461908598543,-18.023456592094366,79.72506821156318,-98838596.46404436
2024-06-04 09:00:00,18.57304401064827,78.17378533601517,2.6327890667111675,9.883869646404436,22.3,38.0,2.4,0,83.28720036739118,-5.72045990518204,90.30049596830148,-98838596.46404436
2024-06-04 10:00:00,18.57304401064827,78.8341920892573,2.6327890667111675,9.883869646404436,22.9,32.0,2.6,0,81.10500393077676,-46.35680454242763,98.73888690000548,-98838596.46404436
2024-06-04 11:00:00,18.57304401064827,78.96134839323705,2.6327890667111675,9.859376521054356,24.2,30.0,2.3,0,76.74812535469313,-63.2044402426434,85.53097305180553,-98593665.21054354
2024-06-04 12:00:00,18.57304401064827,78.96134839323705,2.618647786025664,9.859376521054356,24.9,29.0,1.9,0,74.59054839997363,-72.2804522937649,62.176631384799876,-98593665.21054354
2024-06-04 13:00:00,18.57304401064827,81.4624932971687,2.618647786025664,9.859376521054356,26.1,29.0,2.5,0,71.16109921279062,-80.9050869195173,95.25410754254328,-98593665.21054354
2024-06-04 14:00:00,18.57304401064827,78.9675878917633,2.618647786025664,9.859376521054356,27.3,27.0,3.0,0,68.0331399536054,-92.4724764611691,87.28830190651577,-98593665.21054354
2024-06-04 15:00:00,18.57304401064827,78.9675878917633,2.618647786025664,9.883869646404436,27.5,32.0,3.8,0,67.53835366113783,-46.77366629498958,68.9118656536605,-98838596.46404436
2024-06-04 16:00:00,18.57304401064827,78.84043158778356,2.618647786025664,9.859376521054356,26.8,31.0,4.0,0,69.30241447912994,-54.32392308190725,65.46628098493913,-98593665.21054354
2024-06-04 17:00:00,18.4842842199619,78.18002483454143,2.618647786025664,9.859376521054356,26.1,34.0,3.3,0,70.82102351670325,-29.94121129535381,79.35302577948747,-98593665.21054354
2024-06-04 18:00:00,18.4842842199619,78.18002483454143,2.6460505268387893,9.859376521054356,25.1,33.0,3.3,0,73.64257711435931,-36.9091246776635,80.18340934841983,-98593665.21054354
2024-06-04 19:00:00,18.449699280271727,78.18002483454143,2.6460505268387893,9.862486178339095,24.0,33.0,2.3,0,76.87375663706692,-36.9091246776635,84.95439033574682,-98624761.78339094
2024-06-04 20:00:00,18.316703596414477,78.18002483454143,2.6460505268387893,9.859376521054356,21.9,41.0,1.9,0,83.63792343663074,9.317034716475858,60.73438945906656,-98593665.21054354
2024-06-04 21:00:00,18.316703596414477,80.66869074142058,2.660191807524293,9.859376521054356,20.0,51.0,1.9,0,91.5835221903113,41.82610799209534,59.99011544548223,-98593665.21054354
2024-06-04 22:00:00,18.316703596414477,80.66869074142058,2.6460505268387893,9.859376521054356,18.6,71.0,1.6,0,98.47690187486177,86.38212763431923,34.622250683508916,-98593665.21054354
2024-06-04 23:00:00,18.316703596414477,80.66869074142058,2.64972287292715,9.883869646404436,18.2,76.0,0.7,0,99.35877180059528,93.8569866748431,-178.52786002016404,-98838596.46404436
2024-06-05 00:00:00,18.316703596414477,80.6326029396177,2.6460505268387893,9.883869646404436,17.7,82.0,1.0,0,96.51580085878777,98.33244281265051,-64.60340664981241,-98838596.46404436
2024-06-05 01:00:00,18.4011660427118,78.01784798388577,2.62592612149599,9.789432001981078,17.3,82.0,1.1,0,93.63488204508667,95.1437176457488,-38.71929541513164,-97894220.01981078
2024-06-05 02:00:00,18.4011660427118,78.01784798388577,2.62592612149599,9.789432001981078,16.3,85.0,0.3,0,87.1094186892413,91.78570447684156,-675.2828644031832,-97894220.01981078
2024-06-05 03:00:00,18.4011660427118,78.17378533601517,2.6460505268387893,9.764938876631,15.7,89.0,0.4,0,82.79513170557344,87.83571522746477,-461.4985942448412,-97649288.76630999
2024-06-05 04:00:00,18.4011660427118,78.17378533601517,2.6460505268387893,9.764938876631,15.4,88.0,1.0,0,80.51192146815619,88.83384824162539,-64.60340664981241,-97649288.76630999
2024-06-05 05:00:00,18.4011660427118,80.66869074142058,2.6460505268387893,9.78917137685591,15.5,91.0,0.9,0,81.28281180004528,88.64691415025183,-94.0034584992155,-97891613.76855908
2024-06-05 06:00:00,18.4011660427118,80.66869074142058,2.6460505268387893,9.78917137685591,16.0,90.0,0.7,0,84.99272161260023,89.63187975359178,-178.00324664487502,-97891613.76855908
2024-06-05 07:00:00,18.497107169203947,80.66869074142058,2.6460505268387893,9.934636758882636,18.5,78.0,0.7,0,99.98436308523047,96.57860205220412,-178.00324664487502,-99346267.58882634
2024-06-05 08:00:00,18.568746666259223,80.66869074142058,2.6460505268387893,9.813664502205988,20.7,69.0,1.7,0,89.70409514903241,83.08885644883156,44.350296360680865,-98136545.02205987
