날짜/시간,예측 기온(°C),예측 습도(%),예측 풍속(m/s),예측 전운량(0~10)
2024-06-01 00:00:00,17.570619830445217,79.28496025672516,2.452685419232006,9.931982698873478
2024-06-01 01:00:00,17.665909583107286,79.54530537653325,2.086312714495614,10.072395561978308
2024-06-01 02:00:00,17.665909583107286,81.58244446193329,2.192480946244958,10.05253484122567
2024-06-01 03:00:00,17.424464686640725,79.65354715931666,2.1480370953924024,9.910656491263316
2024-06-01 04:00:00,17.592001014135267,76.56368536497675,2.1434390277044035,10.033560375973344
2024-06-01 05:00:00,17.730881609538972,76.70039872845813,2.118634516557785,10.035681011227737
2024-06-01 06:00:00,17.730881609538972,78.37399829392648,2.177190388996506,10.007884998593742
2024-06-01 07:00:00,18.032775567897747,74.9946911943626,2.277559184204694,10.115146917957315
2024-06-01 08:00:00,18.229831930469658,78.30948221413632,2.256684380953597,9.920286658740384
2024-06-01 09:00:00,18.167701673609827,77.7607941148462,2.184402812312245,9.925309361573177
2024-06-01 10:00:00,18.270735897118655,77.99806132810545,2.153201335733599,9.925309361573177
2024-06-01 11:00:00,18.270735897118655,80.93890240455231,2.1123897814028565,9.885955953193069
2024-06-01 12:00:00,18.579480006274686,79.9670747652793,2.0991683899393463,9.959557836777739
2024-06-01 13:00:00,18.747019821490095,79.9670747652793,2.1638154920065507,10.15529231527706
2024-06-01 14:00:00,18.747019821490095,79.94282775364668,2.2237225840803223,10.052693108633967
2024-06-01 15:00:00,18.761301691981558,77.44792234824128,2.2208464304472746,10.052693108633967
2024-06-01 16:00:00,18.84486675848668,77.23845754890341,2.368552846745333,10.125953513923543
2024-06-01 17:00:00,18.71390326033828,76.6900658237017,2.322055315739878,10.187230230000145
2024-06-01 18:00:00,18.75259160932,75.29615178452998,2.364241120945998,10.147876821620036
2024-06-01 19:00:00,18.639415492326773,78.76288482920839,2.3833786485674753,10.201132347032418
2024-06-01 20:00:00,18.501211948229432,78.21419672991827,2.400043427697374,10.198022689747678
2024-06-01 21:00:00,18.496723150665574,80.28345734886092,2.457923802853821,9.9650388249091
2024-06-01 22:00:00,18.41659269820363,80.28345734886092,2.6262044970653946,9.9650388249091
2024-06-01 23:00:00,18.44622356037073,76.81672430418251,2.6193540334084737,9.883869646404435
2024-06-02 00:00:00,18.540636500555355,79.26930240925878,2.5988418249163807,9.883869646404435
2024-06-02 01:00:00,18.532544648898536,76.75631159636286,2.6157411498974894,9.711697068627666
2024-06-02 02:00:00,18.63369363563077,76.75631159636286,2.594011582726176,9.835144020829446
2024-06-02 03:00:00,18.63369363563077,80.64011182652146,2.600914596605465,9.835144020829446
2024-06-02 04:00:00,18.532544648898536,77.17337878184306,2.600914596605465,9.835144020829446
2024-06-02 05:00:00,18.63369363563077,82.00341235688038,2.614135988068975,9.883869646404435
2024-06-02 06:00:00,18.532544648898536,82.00965185540663,2.600914596605465,9.859376521054356
2024-06-02 07:00:00,18.628485775390683,78.54291881072822,2.600914596605465,10.004841903081083
2024-06-02 08:00:00,18.700125272445963,82.00341235688038,2.600914596605465,9.883869646404435
2024-06-02 09:00:00,18.67711928629914,78.54291881072822,2.5728700720848487,9.859376521054356
2024-06-02 10:00:00,18.68880339597962,79.1970860654441,2.610926538999717,9.883869646404435
2024-06-02 11:00:00,18.68880339597962,79.3304818679501,2.610926538999717,9.859376521054356
2024-06-02 12:00:00,18.68880339597962,79.3304818679501,2.624147930463227,9.859376521054356
2024-06-02 13:00:00,18.68880339597962,79.3304818679501,2.624147930463227,9.859376521054356
2024-06-02 14:00:00,18.68880339597962,79.3304818679501,2.6610998936036205,9.859376521054356
2024-06-02 15:00:00,18.68880339597962,79.3304818679501,2.6610998936036205,9.859376521054356
2024-06-02 16:00:00,18.68880339597962,79.20332556397035,2.664772239691981,9.859376521054356
2024-06-02 17:00:00,18.600043605293248,78.54291881072822,2.664772239691981,9.859376521054356
2024-06-02 18:00:00,18.61434304583448,78.54291881072822,2.654760297297729,9.859376521054356
2024-06-02 19:00:00,18.568073996463827,78.54291881072822,2.654760297297729,9.862486178339097
2024-06-02 20:00:00,18.4580842987534,78.54291881072822,2.654760297297729,9.859376521054356
2024-06-02 21:00:00,18.4580842987534,78.54291881072822,2.668901577983233,9.859376521054356
2024-06-02 22:00:00,18.4580842987534,78.54291881072822,2.654760297297729,9.859376521054356
2024-06-02 23:00:00,18.4580842987534,78.54291881072822,2.654760297297729,9.859376521054356
2024-06-03 00:00:00,18.4580842987534,78.50059151039909,2.654760297297729,9.859376521054356
2024-06-03 01:00:00,18.405463387100845,77.75671815053498,2.6445383577939996,9.711697068627666
2024-06-03 02:00:00,18.405463387100845,77.75671815053498,2.6445383577939996,9.835144020829446
2024-06-03 03:00:00,18.405463387100845,78.17378533601517,2.6609904170484384,9.835144020829446
2024-06-03 04:00:00,18.405463387100845,78.17378533601517,2.6609904170484384,9.835144020829446
2024-06-03 05:00:00,18.405463387100845,80.66869074142058,2.664662763136799,9.859376521054356
2024-06-03 06:00:00,18.405463387100845,80.66869074142058,2.664662763136799,9.859376521054356
2024-06-03 07:00:00,18.487105073051758,80.66869074142058,2.664662763136799,10.004841903081083
2024-06-03 08:00:00,18.57304401064827,80.66869074142058,2.664662763136799,9.883869646404435
2024-06-03 09:00:00,18.558744570107038,78.17378533601517,2.651401303009177,9.883869646404435
2024-06-03 10:00:00,18.558744570107038,78.8341920892573,2.6372600223236735,9.883869646404435
2024-06-03 11:00:00,18.558744570107038,78.96134839323705,2.6372600223236735,9.859376521054356
2024-06-03 12:00:00,18.558744570107038,78.9675878917633,2.633587676235313,9.859376521054356
